source_id,target_id
RUN_00078,TWF
RUN_01088,TWF
RUN_01510,TWF
RUN_01683,TWF
RUN_01764,TWF
RUN_01997,TWF
RUN_02167,TWF
RUN_02245,TWF
RUN_02672,TWF
RUN_02865,TWF
RUN_02942,TWF
RUN_03530,TWF
RUN_03612,TWF
RUN_03696,TWF
RUN_03866,TWF
RUN_04035,TWF
RUN_04208,TWF
RUN_04386,TWF
RUN_04470,TWF
RUN_04647,TWF
RUN_04817,TWF
RUN_05142,TWF
RUN_05310,TWF
RUN_05402,TWF
RUN_05910,TWF
RUN_06000,TWF
RUN_06173,TWF
RUN_06257,TWF
RUN_06341,TWF
RUN_06420,TWF
RUN_06760,TWF
RUN_07088,TWF
RUN_07427,TWF
RUN_07511,TWF
RUN_07688,TWF
RUN_07850,TWF
RUN_08112,TWF
RUN_08200,TWF
RUN_08358,TWF
RUN_08610,TWF
RUN_08691,TWF
RUN_08847,TWF
RUN_09019,TWF
RUN_09175,TWF
RUN_09577,TWF
RUN_09759,TWF
RUN_03237,HDF
RUN_03761,HDF
RUN_03788,HDF
RUN_03794,HDF
RUN_03807,HDF
RUN_03815,HDF
RUN_03830,HDF
RUN_04079,HDF
RUN_04081,HDF
RUN_04082,HDF
RUN_04088,HDF
RUN_04097,HDF
RUN_04120,HDF
RUN_04121,HDF
RUN_04122,HDF
RUN_04131,HDF
RUN_04139,HDF
RUN_04141,HDF
RUN_04152,HDF
RUN_04154,HDF
RUN_04156,HDF
RUN_04158,HDF
RUN_04165,HDF
RUN_04171,HDF
RUN_04174,HDF
RUN_04180,HDF
RUN_04183,HDF
RUN_04185,HDF
RUN_04186,HDF
RUN_04212,HDF
RUN_04226,HDF
RUN_04248,HDF
RUN_04250,HDF
RUN_04252,HDF
RUN_04254,HDF
RUN_04255,HDF
RUN_04259,HDF
RUN_04271,HDF
RUN_04280,HDF
RUN_04283,HDF
RUN_04284,HDF
RUN_04286,HDF
RUN_04308,HDF
RUN_04324,HDF
RUN_04327,HDF
RUN_04329,HDF
RUN_04343,HDF
RUN_04356,HDF
RUN_04362,HDF
RUN_04371,HDF
RUN_04384,HDF
RUN_04390,HDF
RUN_04392,HDF
RUN_04401,HDF
RUN_04406,HDF
RUN_04407,HDF
RUN_04410,HDF
RUN_04418,HDF
RUN_04422,HDF
RUN_04428,HDF
RUN_04436,HDF
RUN_04442,HDF
RUN_04449,HDF
RUN_04450,HDF
RUN_04463,HDF
RUN_04476,HDF
RUN_04481,HDF
RUN_04496,HDF
RUN_04502,HDF
RUN_04511,HDF
RUN_04528,HDF
RUN_04534,HDF
RUN_04537,HDF
RUN_04545,HDF
RUN_04557,HDF
RUN_04559,HDF
RUN_04566,HDF
RUN_04571,HDF
RUN_04580,HDF
RUN_04597,HDF
RUN_04601,HDF
RUN_04602,HDF
RUN_04612,HDF
RUN_04619,HDF
RUN_04621,HDF
RUN_04622,HDF
RUN_04633,HDF
RUN_04643,HDF
RUN_04644,HDF
RUN_04652,HDF
RUN_04662,HDF
RUN_04666,HDF
RUN_04670,HDF
RUN_04703,HDF
RUN_04719,HDF
RUN_04721,HDF
RUN_04724,HDF
RUN_04728,HDF
RUN_04730,HDF
RUN_04732,HDF
RUN_04738,HDF
RUN_04740,HDF
RUN_04749,HDF
RUN_04756,HDF
RUN_04760,HDF
RUN_04762,HDF
RUN_04769,HDF
RUN_04771,HDF
RUN_04779,HDF
RUN_04832,HDF
RUN_04834,HDF
RUN_04837,HDF
RUN_04841,HDF
RUN_04845,HDF
RUN_04852,HDF
RUN_00051,PWF
RUN_00070,PWF
RUN_00169,PWF
RUN_00195,PWF
RUN_00208,PWF
RUN_00260,PWF
RUN_00381,PWF
RUN_00443,PWF
RUN_00464,PWF
RUN_00604,PWF
RUN_00848,PWF
RUN_00881,PWF
RUN_00904,PWF
RUN_01017,PWF
RUN_01096,PWF
RUN_01124,PWF
RUN_01125,PWF
RUN_01145,PWF
RUN_01285,PWF
RUN_01325,PWF
RUN_01392,PWF
RUN_01493,PWF
RUN_01497,PWF
RUN_01785,PWF
RUN_01790,PWF
RUN_01809,PWF
RUN_02016,PWF
RUN_02126,PWF
RUN_02234,PWF
RUN_02300,PWF
RUN_02427,PWF
RUN_02445,PWF
RUN_02599,PWF
RUN_02880,PWF
RUN_03001,PWF
RUN_03141,PWF
RUN_03370,PWF
RUN_03458,PWF
RUN_03580,PWF
RUN_03855,PWF
RUN_03868,PWF
RUN_03929,PWF
RUN_03944,PWF
RUN_04003,PWF
RUN_04049,PWF
RUN_04072,PWF
RUN_04255,PWF
RUN_04293,PWF
RUN_04297,PWF
RUN_04343,PWF
RUN_04354,PWF
RUN_04418,PWF
RUN_04420,PWF
RUN_04763,PWF
RUN_04921,PWF
RUN_04937,PWF
RUN_04989,PWF
RUN_04998,PWF
RUN_05049,PWF
RUN_05335,PWF
RUN_05395,PWF
RUN_05491,PWF
RUN_05616,PWF
RUN_05618,PWF
RUN_05707,PWF
RUN_05910,PWF
RUN_06025,PWF
RUN_06179,PWF
RUN_06249,PWF
RUN_06526,PWF
RUN_06541,PWF
RUN_06619,PWF
RUN_06679,PWF
RUN_06800,PWF
RUN_06933,PWF
RUN_06991,PWF
RUN_07012,PWF
RUN_07084,PWF
RUN_07281,PWF
RUN_07537,PWF
RUN_07565,PWF
RUN_07570,PWF
RUN_07764,PWF
RUN_07885,PWF
RUN_07998,PWF
RUN_08246,PWF
RUN_08308,PWF
RUN_08399,PWF
RUN_08583,PWF
RUN_08927,PWF
RUN_09085,PWF
RUN_09176,PWF
RUN_09614,PWF
RUN_09765,PWF
RUN_09975,PWF
RUN_00070,OSF
RUN_00161,OSF
RUN_00162,OSF
RUN_00243,OSF
RUN_00249,OSF
RUN_00250,OSF
RUN_00328,OSF
RUN_00587,OSF
RUN_00747,OSF
RUN_00927,OSF
RUN_01086,OSF
RUN_01162,OSF
RUN_01163,OSF
RUN_01168,OSF
RUN_01325,OSF
RUN_01335,OSF
RUN_01336,OSF
RUN_01420,OSF
RUN_01497,OSF
RUN_01584,OSF
RUN_01596,OSF
RUN_01834,OSF
RUN_02076,OSF
RUN_02332,OSF
RUN_02333,OSF
RUN_02495,OSF
RUN_02503,OSF
RUN_02582,OSF
RUN_02762,OSF
RUN_02859,OSF
RUN_03020,OSF
RUN_03267,OSF
RUN_03351,OSF
RUN_03357,OSF
RUN_03529,OSF
RUN_03685,OSF
RUN_03855,OSF
RUN_03936,OSF
RUN_03944,OSF
RUN_04025,OSF
RUN_04033,OSF
RUN_04118,OSF
RUN_04371,OSF
RUN_04384,OSF
RUN_04463,OSF
RUN_04643,OSF
RUN_04644,OSF
RUN_04730,OSF
RUN_04815,OSF
RUN_04977,OSF
RUN_04985,OSF
RUN_05062,OSF
RUN_05220,OSF
RUN_05395,OSF
RUN_05400,OSF
RUN_05401,OSF
RUN_05402,OSF
RUN_05489,OSF
RUN_05735,OSF
RUN_05910,OSF
RUN_06079,OSF
RUN_06154,OSF
RUN_06160,OSF
RUN_06249,OSF
RUN_06256,OSF
RUN_06498,OSF
RUN_06674,OSF
RUN_06925,OSF
RUN_07084,OSF
RUN_07168,OSF
RUN_07510,OSF
RUN_07592,OSF
RUN_07594,OSF
RUN_07670,OSF
RUN_07757,OSF
RUN_07760,OSF
RUN_07927,OSF
RUN_08027,OSF
RUN_08193,OSF
RUN_08196,OSF
RUN_08438,OSF
RUN_08609,OSF
RUN_08847,OSF
RUN_08927,OSF
RUN_09015,OSF
RUN_09017,OSF
RUN_09085,OSF
RUN_09415,OSF
RUN_09494,OSF
RUN_09654,OSF
RUN_09655,OSF
RUN_09660,OSF
RUN_09664,OSF
RUN_09665,OSF
RUN_09668,OSF
RUN_09823,OSF
RUN_09831,OSF
RUN_09975,OSF
RUN_01222,RNF
RUN_01303,RNF
RUN_01749,RNF
RUN_02073,RNF
RUN_02560,RNF
RUN_03066,RNF
RUN_03453,RNF
RUN_03612,RNF
RUN_05472,RNF
RUN_05490,RNF
RUN_05496,RNF
RUN_05510,RNF
RUN_05554,RNF
RUN_05640,RNF
RUN_06092,RNF
RUN_06914,RNF
RUN_06961,RNF
RUN_07489,RNF
RUN_07869,RNF
