run_id,machine_id,product_id,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,event_time
RUN_00001,MACHINE_M,M14860,298.1,308.6,1551,42.8,0,False,2024-01-01T00:00:00
RUN_00002,MACHINE_L,L47181,298.2,308.7,1408,46.3,3,False,2024-01-01T00:06:00
RUN_00003,MACHINE_L,L47182,298.1,308.5,1498,49.4,5,False,2024-01-01T00:12:00
RUN_00004,MACHINE_L,L47183,298.2,308.6,1433,39.5,7,False,2024-01-01T00:18:00
RUN_00005,MACHINE_L,L47184,298.2,308.7,1408,40.0,9,False,2024-01-01T00:24:00
RUN_00006,MACHINE_M,M14865,298.1,308.6,1425,41.9,11,False,2024-01-01T00:30:00
RUN_00007,MACHINE_L,L47186,298.1,308.6,1558,42.4,14,False,2024-01-01T00:36:00
RUN_00008,MACHINE_L,L47187,298.1,308.6,1527,40.2,16,False,2024-01-01T00:42:00
RUN_00009,MACHINE_M,M14868,298.3,308.7,1667,28.6,18,False,2024-01-01T00:48:00
RUN_00010,MACHINE_M,M14869,298.5,309.0,1741,28.0,21,False,2024-01-01T00:54:00
RUN_00011,MACHINE_H,H29424,298.4,308.9,1782,23.9,24,False,2024-01-01T01:00:00
RUN_00012,MACHINE_H,H29425,298.6,309.1,1423,44.3,29,False,2024-01-01T01:06:00
RUN_00013,MACHINE_M,M14872,298.6,309.1,1339,51.1,34,False,2024-01-01T01:12:00
RUN_00014,MACHINE_M,M14873,298.6,309.2,1742,30.0,37,False,2024-01-01T01:18:00
RUN_00015,MACHINE_L,L47194,298.6,309.2,2035,19.6,40,False,2024-01-01T01:24:00
RUN_00016,MACHINE_L,L47195,298.6,309.2,1542,48.4,42,False,2024-01-01T01:30:00
RUN_00017,MACHINE_M,M14876,298.6,309.2,1311,46.6,44,False,2024-01-01T01:36:00
RUN_00018,MACHINE_M,M14877,298.7,309.2,1410,45.6,47,False,2024-01-01T01:42:00
RUN_00019,MACHINE_H,H29432,298.8,309.2,1306,54.5,50,False,2024-01-01T01:48:00
RUN_00020,MACHINE_M,M14879,298.9,309.3,1632,32.5,55,False,2024-01-01T01:54:00
RUN_00021,MACHINE_H,H29434,298.9,309.3,1375,42.7,58,False,2024-01-01T02:00:00
RUN_00022,MACHINE_L,L47201,298.8,309.3,1450,44.8,63,False,2024-01-01T02:06:00
RUN_00023,MACHINE_M,M14882,298.9,309.3,1581,30.7,65,False,2024-01-01T02:12:00
RUN_00024,MACHINE_L,L47203,299.0,309.4,1758,25.7,68,False,2024-01-01T02:18:00
RUN_00025,MACHINE_M,M14884,299.0,309.4,1561,37.3,70,False,2024-01-01T02:24:00
RUN_00026,MACHINE_L,L47205,299.0,309.5,1861,23.3,73,False,2024-01-01T02:30:00
RUN_00027,MACHINE_L,L47206,299.1,309.5,1512,39.0,75,False,2024-01-01T02:36:00
RUN_00028,MACHINE_H,H29441,299.1,309.4,1811,24.6,77,False,2024-01-01T02:42:00
RUN_00029,MACHINE_L,L47208,299.1,309.4,1439,44.2,82,False,2024-01-01T02:48:00
RUN_00030,MACHINE_L,L47209,299.0,309.4,1693,30.1,84,False,2024-01-01T02:54:00
RUN_00031,MACHINE_M,M14890,299.1,309.5,1339,48.2,86,False,2024-01-01T03:00:00
RUN_00032,MACHINE_L,L47211,299.0,309.4,1798,25.5,89,False,2024-01-01T03:06:00
RUN_00033,MACHINE_L,L47212,299.0,309.4,1419,48.3,91,False,2024-01-01T03:12:00
RUN_00034,MACHINE_L,L47213,298.9,309.3,1665,32.5,93,False,2024-01-01T03:18:00
