lot_id,alarm_id,sensor_value,sigma_deviation
LOT_0001,SPC_ATTR_092,-0.3274,-3.7617
LOT_0001,SPC_ATTR_109,0.3196,3.8082
LOT_0001,SPC_ATTR_228,0.0744,5.139
LOT_0001,SPC_ATTR_229,0.0546,3.4208
LOT_0001,SPC_ATTR_366,0.017,4.4431
LOT_0001,SPC_ATTR_367,0.0148,4.1923
LOT_0001,SPC_ATTR_368,0.0124,3.1964
LOT_0001,SPC_ATTR_369,0.0114,3.9051
LOT_0002,SPC_ATTR_038,64.9193,-4.2808
LOT_0002,SPC_ATTR_213,0.1651,3.5996
LOT_0002,SPC_ATTR_351,0.0768,3.7413
LOT_0003,SPC_ATTR_039,84.7327,-4.7092
LOT_0003,SPC_ATTR_056,2936.0,3.1002
LOT_0003,SPC_ATTR_511,240.7767,4.9086
LOT_0003,SPC_ATTR_559,1.5021,6.0469
LOT_0003,SPC_ATTR_566,0.6219,5.8713
LOT_0003,SPC_ATTR_568,0.2562,5.9862
LOT_0003,SPC_ATTR_570,68.8489,4.6734
LOT_0003,SPC_ATTR_579,0.0584,3.136
LOT_0003,SPC_ATTR_580,0.0484,3.275
LOT_0003,SPC_ATTR_581,0.0148,3.018
LOT_0003,SPC_ATTR_588,0.0484,3.6245
LOT_0003,SPC_ATTR_589,0.0148,3.3195
LOT_0004,SPC_ATTR_038,65.1951,-3.374
LOT_0004,SPC_ATTR_056,2936.0,3.1002
LOT_0004,SPC_ATTR_134,980.451,-3.6086
LOT_0004,SPC_ATTR_548,372.822,-6.0674
LOT_0004,SPC_ATTR_551,131.68,23.0859
LOT_0004,SPC_ATTR_552,39.33,27.9912
LOT_0004,SPC_ATTR_554,56.9303,22.4507
LOT_0004,SPC_ATTR_555,17.4781,28.345
LOT_0004,SPC_ATTR_557,35.3198,24.299
LOT_0004,SPC_ATTR_558,54.2917,28.1585
LOT_0004,SPC_ATTR_561,0.271,3.8496
LOT_0005,SPC_ATTR_046,176.3136,5.0413
LOT_0005,SPC_ATTR_047,789.7523,4.6079
LOT_0005,SPC_ATTR_051,667.7418,4.1055
LOT_0005,SPC_ATTR_063,144.0191,3.1889
LOT_0005,SPC_ATTR_067,745.6025,3.3497
LOT_0005,SPC_ATTR_497,107.6905,3.1608
LOT_0005,SPC_ATTR_583,0.48,-5.9036
LOT_0005,SPC_ATTR_584,0.4766,26.8499
LOT_0005,SPC_ATTR_585,0.1045,27.0573
LOT_0005,SPC_ATTR_586,99.3032,26.8962
LOT_0006,SPC_ATTR_172,0.3176,3.2497
LOT_0006,SPC_ATTR_220,0.0117,5.1312
LOT_0006,SPC_ATTR_307,0.1379,3.5148
LOT_0006,SPC_ATTR_358,0.0036,5.1916
LOT_0006,SPC_ATTR_473,285.9,3.1031
LOT_0006,SPC_ATTR_492,8.2199,4.7189
LOT_0008,SPC_ATTR_038,65.0665,-3.7968
LOT_0008,SPC_ATTR_151,19.388,3.8786
LOT_0008,SPC_ATTR_219,7.5616,3.2382
LOT_0008,SPC_ATTR_286,5.6741,3.6912
LOT_0008,SPC_ATTR_357,2.46,3.0016
LOT_0008,SPC_ATTR_477,71.7657,3.4562
LOT_0008,SPC_ATTR_491,121.6359,3.894
LOT_0008,SPC_ATTR_575,92.5866,3.099
LOT_0008,SPC_ATTR_577,56.4274,3.0059
LOT_0009,SPC_ATTR_027,1.323,-3.248
LOT_0009,SPC_ATTR_028,2.2675,-3.5131
