lot_id,event_time,yield_pass,sensor_na_rate,n_spc_alarms
LOT_0001,2008-07-19T11:55:00,True,0.0746,8
LOT_0002,2008-07-19T12:32:00,True,0.061,3
LOT_0003,2008-07-19T13:17:00,False,0.0339,12
LOT_0004,2008-07-19T14:43:00,True,0.0339,11
LOT_0005,2008-07-19T15:22:00,True,0.0678,10
LOT_0006,2008-07-19T17:53:00,True,0.0407,6
LOT_0007,2008-07-19T19:44:00,True,0.0678,0
LOT_0008,2008-07-19T19:45:00,True,0.0407,9
LOT_0009,2008-07-19T20:24:00,True,0.0407,18
LOT_0010,2008-07-19T21:35:00,True,0.0407,2
LOT_0011,2008-07-19T21:57:00,False,0.0339,26
LOT_0012,2008-07-19T22:52:00,False,0.0407,1
LOT_0013,2008-07-20T03:35:00,True,0.0475,3
LOT_0014,2008-07-21T08:21:00,True,0.0542,8
LOT_0015,2008-07-21T11:53:00,False,0.0475,24
LOT_0016,2008-07-22T00:03:00,True,0.0475,25
LOT_0017,2008-07-22T02:59:00,True,0.0407,3
LOT_0018,2008-07-22T08:41:00,True,0.0678,8
LOT_0019,2008-07-22T11:47:00,True,0.0475,0
LOT_0020,2008-07-22T14:00:00,True,0.0475,5
LOT_0021,2008-07-22T15:30:00,True,0.0814,1
LOT_0022,2008-07-23T05:15:00,True,0.0475,4
LOT_0023,2008-07-23T19:22:00,True,0.0407,0
LOT_0024,2008-07-25T15:23:00,False,0.0475,23
LOT_0025,2008-07-27T04:18:00,True,0.0475,21
LOT_0026,2008-07-27T09:37:00,True,0.0475,21
LOT_0027,2008-07-27T11:10:00,True,0.0746,3
LOT_0028,2008-07-27T15:46:00,True,0.0339,10
LOT_0029,2008-07-27T16:06:00,True,0.0339,3
LOT_0030,2008-07-27T16:49:00,True,0.0339,2
LOT_0031,2008-07-27T20:24:00,True,0.0475,7
LOT_0032,2008-07-27T22:28:00,True,0.0339,3
LOT_0033,2008-07-27T22:28:00,True,0.0475,3
LOT_0034,2008-07-27T23:14:00,True,0.0593,21
LOT_0035,2008-07-28T03:31:00,True,0.0339,6
LOT_0036,2008-07-28T03:48:00,True,0.0475,4
