alarm_id,feature_name,population_mean,population_std,upper_control_limit,lower_control_limit,total_alarm_count
SPC_ATTR_001,Attribute 1,3014.452896,73.621787,3235.318256,2793.587535,16
SPC_ATTR_002,Attribute 2,2495.850231,80.407705,2737.073346,2254.627116,18
SPC_ATTR_003,Attribute 3,2200.547318,29.513152,2289.086774,2112.007862,12
SPC_ATTR_004,Attribute 4,1396.376627,441.69164,2721.451548,71.301706,32
SPC_ATTR_005,Attribute 5,4.197013,56.35554,173.263633,-164.869607,4
SPC_ATTR_007,Attribute 7,101.112908,6.237214,119.82455,82.401267,20
SPC_ATTR_008,Attribute 8,0.121822,0.008961,0.148705,0.094938,8
SPC_ATTR_009,Attribute 9,1.462862,0.073897,1.684551,1.241172,4
SPC_ATTR_010,Attribute 10,-0.000841,0.015116,0.044508,-0.04619,12
SPC_ATTR_011,Attribute 11,0.000146,0.009302,0.028052,-0.027761,17
SPC_ATTR_012,Attribute 12,0.964353,0.012452,1.001709,0.926997,3
SPC_ATTR_013,Attribute 13,199.956809,3.257276,209.728636,190.184982,5
SPC_ATTR_015,Attribute 15,9.005371,2.796596,17.395157,0.615584,6
SPC_ATTR_016,Attribute 16,413.086035,17.221095,464.749319,361.422752,4
SPC_ATTR_017,Attribute 17,9.907603,2.403867,17.119203,2.696003,1
SPC_ATTR_018,Attribute 18,0.971444,0.012062,1.007631,0.935257,2
SPC_ATTR_019,Attribute 19,190.047354,2.781041,198.390476,181.704231,9
SPC_ATTR_020,Attribute 20,12.481034,0.217965,13.13493,11.827138,11
SPC_ATTR_021,Attribute 21,1.405054,0.016737,1.455265,1.354843,10
SPC_ATTR_022,Attribute 22,-5618.39361,626.822178,-3737.927075,-7498.860145,24
SPC_ATTR_023,Attribute 23,2699.378435,295.498535,3585.874038,1812.882831,27
SPC_ATTR_024,Attribute 24,-3806.299734,1380.162148,334.18671,-7946.786177,31
SPC_ATTR_025,Attribute 25,-298.598136,2902.690117,8409.472217,-9006.668488,36
SPC_ATTR_026,Attribute 26,1.203845,0.1776,1.736646,0.671043,35
SPC_ATTR_027,Attribute 27,1.938477,0.189495,2.506962,1.369992,39
SPC_ATTR_028,Attribute 28,6.638628,1.244249,10.371376,2.90588,33
SPC_ATTR_030,Attribute 30,2.366197,0.408694,3.59228,1.140115,10
SPC_ATTR_031,Attribute 31,0.184159,0.032944,0.282991,0.085327,10
SPC_ATTR_033,Attribute 33,85.337469,2.026549,91.417116,79.257821,27
SPC_ATTR_034,Attribute 34,8.960279,1.344456,12.993648,4.926909,19
SPC_ATTR_035,Attribute 35,50.582639,1.182618,54.130493,47.034784,32
SPC_ATTR_036,Attribute 36,64.555787,2.574749,72.280033,56.831541,38
SPC_ATTR_037,Attribute 37,49.41737,1.182619,52.965227,45.869514,32
SPC_ATTR_038,Attribute 38,66.221274,0.304141,67.133696,65.308851,33
SPC_ATTR_039,Attribute 39,86.836577,0.446756,88.176843,85.49631,71
SPC_ATTR_040,Attribute 40,118.679554,1.807221,124.101217,113.257892,37
SPC_ATTR_042,Attribute 42,3.353066,2.360425,10.434341,-3.728209,6
SPC_ATTR_044,Attribute 44,355.538904,6.234706,374.243022,336.834785,6
SPC_ATTR_045,Attribute 45,10.031165,0.175038,10.556278,9.506052,10
SPC_ATTR_046,Attribute 46,136.74306,7.849247,160.290802,113.195317,10
SPC_ATTR_047,Attribute 47,733.672811,12.170315,770.183756,697.161867,4
SPC_ATTR_048,Attribute 48,1.177958,0.189637,1.746869,0.609047,1
SPC_ATTR_049,Attribute 49,139.972231,4.524251,153.544984,126.399478,5
SPC_ATTR_051,Attribute 51,632.254197,8.643985,658.186153,606.322241,5
